log(6-2**(-x)-2*cos(x))
  i                       p                    f(p)     Asymptotic Constant
---  ----------------------  ----------------------  ----------------------
  0  2.00000000000000000000  1.88438326713357362507
  1  1.88438326713357362507  1.84783820319306091307  0.32235861161715712031
  2  1.84783820319306091307  1.83565110107205864409  0.33554024723962017074
  3  1.83565110107205864409  1.83152060816252415520  0.33961715293529526338
  4  1.83152060816252415520  1.83011322372493356880  0.34096633785666974337
  5  1.83011322372493356880  1.82963282443089392260  0.34142239797631346310
  6  1.82963282443089392260  1.82946874397203140816  0.34157765035290255096
  7  1.82946874397203140816  1.82941269060226563425  0.34163062802104093851
  8  1.82941269060226563425  1.82939354021998346056  0.34164872062770573757
  9  1.82939354021998346056  1.82938699741900179241  0.34165490121913422161
 10  1.82938699741900179241  1.82938476202761268752  0.34165701277602411601
 11  1.82938476202761268752  1.82938399828914155520  0.34165773416922062822
 12  1.82938399828914155520  1.82938373735183112956  0.34165798057227769746
 13  1.82938373735183112956  1.82938364820049859105  0.34165806460491060514
 14  1.82938364820049859105  1.82938361774122459913  0.34165809358725657274
 15  1.82938361774122459913  1.82938360733456684137  0.34165810058898826718
 16  1.82938360733456684137  1.82938360377904785103  0.34165809677079916895
 17  1.82938360377904785103  1.82938360256427601236  0.34165807694393429683
 18  1.82938360256427601236  1.82938360214923934066  0.34165804556586210072
 19  1.82938360214923934066  1.82938360200743876938  0.34165788775746330774
 20  1.82938360200743876938  1.82938360195899130112  0.34165780097976150564
 21  1.82938360195899130112  1.82938360194243898604  0.34165512538508657769
 22  1.82938360194243898604  1.82938360193678373200  0.34165555369112698969
 23  1.82938360193678373200  1.82938360193485172189  0.34164814144651811656
 24  1.82938360193485172189  1.82938360193419136124  0.34168116819247940086
 25  1.82938360193419136124  1.82938360193396576392  0.34145261293179807183
 26  1.82938360193396576392  1.82938360193388871444  0.34111543450064851779
 27  1.82938360193388871444  1.82938360193386251318  0.34030418250950572601
 28  1.82938360193386251318  1.82938360193385340935  0.34078212290502790660
 29  1.82938360193385340935  1.82938360193385052277  0.32786885245901636887
 30  1.82938360193385052277  1.82938360193384941255  0.34999999999999997780
 31  1.82938360193384941255  1.82938360193384896846  0.28571428571428569843
 32  1.82938360193384896846  1.82938360193384896846  0.00000000000000000000
 33  1.82938360193384896846  1.82938360193384896846
